CourtName,Area,DayOfHearing,DayPrinted,DateDifferenceHearingToResult,ResultType,DayOfPreviousCheck,AMPMofPreviousCheck,BestPredDay,BestPredAMPM,DateDifbetweenPrintingAndLastCheck
Tottenham,B,Thursday,Tuesday,61,Result,Null,Null,Unknown,Unknown,NotCheckedBefore
Highbury,L,Friday,Friday,7,Result,Thursday,AM,Wednesday,PM,1
Bromley,H,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
Bromley,L,Friday,Wednesday,5,Bailconditions,Tuesday,AM,Monday,PM,1
Chelmsford,L,Friday,Thursday,6,Result,Wednesday,AM,Tuesday,PM,1
Uxbridge,B,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
Bromley,L,Friday,Wednesday,5,Adjournment,Tuesday,AM,Monday,PM,1
Dartford,H,Friday,Wednesday,5,Bailconditions,Tuesday,AM,Monday,PM,1
CamberwellGreen,H,Friday,Wednesday,5,Bailconditions,Tuesday,AM,Monday,PM,1
Maidenhead,B,Friday,Tuesday,4,Adjournment,Monday,AM,Sunday,PM,1
Reading,B,Friday,Tuesday,4,Warrant,Monday,AM,Sunday,PM,1
EastBerkshire,H,Friday,Tuesday,4,Result,Monday,AM,Sunday,PM,1
Canterbury,H,Friday,Friday,7,Result,Thursday,AM,Wednesday,PM,1
Snaresbrook,B,Friday,Monday,10,Result,Thursday,AM,Unknown,Unknown,4
Snaresbrook,B,Friday,Monday,10,Result,Thursday,AM,Unknown,Unknown,4
Blackfriars,L,Friday,Monday,10,Adjournment,Monday,AM,Unknown,Unknown,#NUM!
Horsham,H,Friday,Tuesday,4,Result,Null,Null,Monday,PM,NotCheckedBefore
Blackfriars,L,Friday,Tuesday,4,Result,Null,Null,Monday,PM,NotCheckedBefore
Thames,L,Friday,Tuesday,4,Result,Null,Null,Monday,PM,NotCheckedBefore
Guildford,H,Friday,Tuesday,4,Result,Null,Null,Monday,PM,NotCheckedBefore
LavenderHill,B,Friday,Tuesday,4,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Willesden,L,Friday,Tuesday,4,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Crawley,H,Friday,Tuesday,4,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Guildford,H,Friday,Tuesday,4,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Horsham,H,Friday,Tuesday,4,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Bexley,H,Friday,Tuesday,4,Bailconditions,Null,Null,Monday,PM,NotCheckedBefore
Horsham,H,Friday,Tuesday,4,Bailconditions,Null,Null,Monday,PM,NotCheckedBefore
Snaresbrook,L,Friday,Tuesday,4,Bailconditions,Null,Null,Monday,PM,NotCheckedBefore
Thames,L,Friday,Tuesday,4,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Croydon,H,Friday,Tuesday,4,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Thames,L,Friday,Tuesday,4,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Blackfriars,H,Friday,Tuesday,4,Adjournment,Null,Null,Monday,PM,NotCheckedBefore
Thames,L,Friday,Tuesday,4,Result,Null,Null,Monday,PM,NotCheckedBefore
Thames,L,Friday,Tuesday,4,Result,Null,Null,Monday,PM,NotCheckedBefore
Hendon,B,Friday,Wednesday,5,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Friday,Wednesday,5,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Friday,Wednesday,5,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,B,Friday,Wednesday,5,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,B,Friday,Wednesday,5,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,B,Friday,Wednesday,5,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,B,Friday,Wednesday,5,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,B,Friday,Wednesday,5,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,B,Friday,Wednesday,5,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Friday,Wednesday,5,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Friday,Wednesday,5,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,B,Friday,Wednesday,5,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
LavenderHill,H,Saturday,Tuesday,3,Result,Null,Null,Monday,PM,NotCheckedBefore
Thames,L,Saturday,Tuesday,3,Result,Null,Null,Monday,PM,NotCheckedBefore
Tottenham,B,Saturday,Wednesday,4,Bailconditions,Null,Null,Tuesday,PM,NotCheckedBefore
Hatfield,B,Saturday,Wednesday,4,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,H,Saturday,Wednesday,4,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Saturday,Wednesday,4,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
