CourtName,Area,DayOfHearing,DayPrinted,DateDifferenceHearingToResult,ResultType,DayOfPreviousCheck,AMPMofPreviousCheck,BestPredDay,BestPredAMPM,DateDifbetweenPrintingAndLastCheck
Crawley,H,Tuesday,Thursday,2,Adjournment,Null,Null,Wednesday,PM,NotCheckedBefore
Crawley,H,Tuesday,Thursday,2,Adjournment,Null,Null,Wednesday,PM,NotCheckedBefore
Thames,B,Tuesday,Thursday,2,Bailcondition,Null,Null,Wednesday,PM,NotCheckedBefore
Bexley,H,Tuesday,Thursday,2,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Bexley,H,Tuesday,Thursday,2,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Bexley,H,Tuesday,Thursday,2,Adjournment,Null,Null,Wednesday,PM,NotCheckedBefore
LavenderHill,H,Tuesday,Thursday,2,Adjournment,Null,Null,Wednesday,PM,NotCheckedBefore
Folkestone,H,Tuesday,Thursday,2,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Colchester,B,Tuesday,Thursday,9,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Guildford,H,Tuesday,Wednesday,15,Result,Null,Null,Unknown,Unknown,NotCheckedBefore
Guildford,H,Tuesday,Wednesday,15,Result,Null,Null,Unknown,Unknown,NotCheckedBefore
Reading,B,Tuesday,Thursday,2,Adjournment,Null,Null,Wednesday,PM,NotCheckedBefore
Peterborough,B,Tuesday,Thursday,2,Adjournment,Null,Null,Wednesday,PM,NotCheckedBefore
Thames,L,Tuesday,Thursday,2,Bailcondition,Null,Null,Wednesday,PM,NotCheckedBefore
Oxford,B,Tuesday,Thursday,2,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Wimbledon,H,Wednesday,Thursday,8,Result,Friday,AM,Thursday,PM,6
Luton,B,Wednesday,Thursday,8,Result,Friday,AM,Thursday,PM,6
StAlbans,B,Wednesday,Thursday,8,Result,Friday,AM,Thursday,PM,6
StAlbans,B,Wednesday,Thursday,8,Bailcondition,Friday,AM,Thursday,PM,6
Maidstone,H,Wednesday,Thursday,15,Adjournment,Wednesday,AM,Tuesday,PM,1
Willesden,L,Wednesday,Thursday,8,Result,Friday,AM,Thursday,PM,6
Hampshire,H,Wednesday,Thursday,8,Result,Monday,AM,Sunday,PM,3
HighburyCorner,L,Wednesday,Monday,12,Result,Friday,AM,Unknown,Unknown,3
Highgate,L,Wednesday,Thursday,8,Result,Monday,AM,Sunday,PM,3
Sevenoaks,H,Wednesday,Monday,12,Result,Thursday,AM,Unknown,Unknown,4
Hammersmith,L,Wednesday,Friday,9,Result,Thursday,PM,Thursday,AM,1
Stratford,L,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
CityofLondon,L,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Peterborough,B,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Hammersmith,L,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Barkingside,B,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Thames,L,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Thames,L,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Thames,L,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,H,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,H,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,H,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,B,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Reading,B,Wednesday,Friday,2,Bailcondition,Null,Null,Friday,AM,NotCheckedBefore
Feltham,L,Wednesday,Friday,2,Bailcondition,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Bailcondition,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Bailcondition,Null,Null,Friday,AM,NotCheckedBefore
Westminster,H,Wednesday,Friday,2,Bailcondition,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Bailcondition,Null,Null,Friday,AM,NotCheckedBefore
Westminster,H,Wednesday,Friday,2,Bailcondition,Null,Null,Friday,AM,NotCheckedBefore
Westminster,B,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Westminster,B,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Westminster,B,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Westminster,H,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Westminster,B,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
BlackfriarsCC,B,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Thames,B,Wednesday,Friday,2,Result,Null,Null,Friday,AM,NotCheckedBefore
Thames,L,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Wimbledon,H,Wednesday,Friday,2,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Tottenham,B,Wednesday,Thursday,8,Adjournment,Null,Null,Wednesday,PM,NotCheckedBefore
BlackfriarsCC,L,Wednesday,Thursday,1,Bailcondition,Null,Null,Thursday,AM,NotCheckedBefore
BlackfriarsCC,B,Wednesday,Thursday,1,Bailcondition,Null,Null,Thursday,AM,NotCheckedBefore
Thames,L,Wednesday,Thursday,8,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Peterborough,B,Thursday,Thursday,7,Adjournment,Monday,AM,Sunday,PM,3
Peterborough,B,Thursday,Thursday,7,Adjournment,Monday,AM,Sunday,PM,3
Peterborough,B,Thursday,Thursday,7,Adjournment,Monday,AM,Sunday,PM,3
Peterborough,B,Thursday,Thursday,7,Result,Monday,AM,Sunday,PM,3
Westminster,L,Thursday,Thursday,7,Adjournment,Monday,AM,Sunday,PM,3
Westminster,L,Thursday,Thursday,7,Adjournment,Monday,AM,Sunday,PM,3
Westminster,H,Thursday,Thursday,7,Adjournment,Monday,AM,Sunday,PM,3
Westminster,H,Thursday,Thursday,7,Result,Monday,AM,Sunday,PM,3
Westminster,L,Thursday,Thursday,7,Result,Monday,AM,Sunday,PM,3
Westminster,L,Thursday,Thursday,7,Result,Monday,AM,Sunday,PM,3
Westminster,L,Thursday,Thursday,7,Result,Monday,AM,Sunday,PM,3
Westminster,L,Thursday,Thursday,7,Result,Monday,AM,Sunday,PM,3
Westminster,B,Thursday,Thursday,7,Result,Monday,AM,Sunday,PM,3
Westminster,L,Thursday,Thursday,7,Bailcondition,Monday,AM,Sunday,PM,3
Ipswich,B,Thursday,Monday,11,Result,Thursday,AM,Unknown,Unknown,4
CityofLondon,B,Thursday,Thursday,7,Result,Monday,AM,Sunday,PM,3
Stratford,L,Thursday,Thursday,7,Result,Monday,AM,Sunday,PM,3
CityofLondon,L,Thursday,Thursday,7,Result,Monday,AM,Sunday,PM,3
BlackfriarsCC,H,Thursday,Friday,15,Adjournment,Thursday,AM,Wednesday,PM,1
Sevenoaks,H,Thursday,Wednesday,13,Adjournment,Monday,AM,Sunday,PM,2
Bromley,H,Thursday,Friday,8,Adjournment,Thursday,PM,Thursday,AM,1
Canterbury,H,Thursday,Thursday,7,Warrant,Friday,PM,Friday,AM,6
BlackfriarsCC,L,Thursday,Friday,1,Result,Null,Null,Friday,AM,NotCheckedBefore
Westminster,H,Thursday,Thursday,7,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Westminster,B,Thursday,Thursday,7,Bailcondition,Null,Null,Wednesday,PM,NotCheckedBefore
Guildford,H,Thursday,Thursday,7,Warrant,Null,Null,Wednesday,PM,NotCheckedBefore
Hammersmith,L,Thursday,Thursday,7,Adjournment,Null,Null,Wednesday,PM,NotCheckedBefore
LavenderHill,H,Thursday,Thursday,7,Adjournment,Null,Null,Wednesday,PM,NotCheckedBefore
LavenderHill,H,Thursday,Thursday,7,Adjournment,Null,Null,Wednesday,PM,NotCheckedBefore
Oxford,B,Thursday,Thursday,7,Bailcondition,Null,Null,Wednesday,PM,NotCheckedBefore
Barkingside,B,Thursday,Thursday,7,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Barkingside,B,Thursday,Thursday,7,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Barkingside,B,Thursday,Thursday,7,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Reading,B,Thursday,Thursday,7,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Barkingside,B,Thursday,Thursday,7,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Westminster,L,Friday,Monday,10,Bailcondition,Friday,AM,Unknown,Unknown,3
Westminster,H,Friday,Monday,10,Result,Friday,AM,Unknown,Unknown,3
Westminster,B,Friday,Monday,10,Result,Friday,AM,Unknown,Unknown,3
Westminster,H,Friday,Monday,10,Result,Friday,AM,Unknown,Unknown,3
Westminster,L,Friday,Monday,10,Result,Friday,AM,Unknown,Unknown,3
Westminster,H,Friday,Friday,7,Adjournment,Thursday,AM,Wednesday,PM,1
Westminster,B,Friday,Friday,7,Adjournment,Thursday,AM,Wednesday,PM,1
Westminster,L,Friday,Friday,7,Result,Thursday,AM,Wednesday,PM,1
Westminster,L,Friday,Friday,7,Bailcondition,Thursday,AM,Wednesday,PM,1
Westminster,L,Friday,Friday,7,Bailcondition,Thursday,AM,Wednesday,PM,1
Westminster,L,Friday,Friday,7,Bailcondition,Thursday,AM,Wednesday,PM,1
Westminster,B,Friday,Friday,7,Bailcondition,Thursday,AM,Wednesday,PM,1
Westminster,L,Friday,Friday,7,Bailcondition,Thursday,AM,Wednesday,PM,1
Westminster,H,Friday,Friday,7,Bailcondition,Thursday,AM,Wednesday,PM,1
Willesden,L,Friday,Thursday,13,Adjournment,Wednesday,AM,Tuesday,PM,1
BrightonandHove,H,Friday,Thursday,13,Result,Wednesday,AM,Tuesday,PM,1
Tottenham,L,Friday,Thursday,13,Adjournment,Wednesday,AM,Tuesday,PM,1
Thames,L,Friday,Wednesday,12,Adjournment,Monday,AM,Sunday,PM,2
Oxford,B,Friday,Monday,10,Result,Thursday,AM,Unknown,Unknown,4
HighburyCorner,L,Friday,Friday,14,Result,Thursday,AM,Wednesday,PM,1
Tottenham,B,Friday,Friday,14,Bailcondition,Thursday,AM,Wednesday,PM,1
Tottenham,B,Friday,Friday,14,Bailcondition,Thursday,AM,Wednesday,PM,1
Tottenham,B,Friday,Friday,14,Bailcondition,Thursday,AM,Wednesday,PM,1
BlackfriarsCC,B,Friday,Friday,7,Result,Thursday,AM,Wednesday,PM,1
Bromley,H,Friday,Monday,10,Bailcondition,Friday,AM,Unknown,Unknown,3
BlackfriarsCC,H,Friday,Friday,7,Result,Thursday,AM,Wednesday,PM,1
Dartford,H,Friday,Monday,10,Result,Thursday,AM,Unknown,Unknown,4
Guildford,H,Friday,Monday,10,Result,Thursday,PM,Thursday,AM,4
Hertford,B,Friday,Monday,10,Bailcondition,Thursday,PM,Thursday,AM,4
LutonandSouthBedfordshire,B,Friday,Monday,10,Result,Thursday,PM,Thursday,AM,4
Croydon,H,Friday,Sunday,2,Result,Null,Null,,,
Westminster,L,Friday,Thursday,6,Adjournment,Null,Null,,PM,NotCheckedBefore
Westminster,B,Friday,Thursday,6,Adjournment,Null,Null,,PM,NotCheckedBefore
Westminster,B,Friday,Thursday,6,Adjournment,Null,Null,,PM,NotCheckedBefore
Westminster,B,Friday,Thursday,6,Adjournment,Null,Null,,PM,NotCheckedBefore
Westminster,L,Friday,Thursday,6,Result,Null,Null,,PM,NotCheckedBefore
Westminster,H,Friday,Thursday,6,Result,Null,Null,,PM,NotCheckedBefore
Redhill,H,Friday,Thursday,6,Result,Null,Null,,PM,NotCheckedBefore
Hammersmith,H,Friday,Thursday,6,Adjournment,Null,Null,,PM,NotCheckedBefore
Hammersmith,H,Friday,Thursday,6,Adjournment,Null,Null,,PM,NotCheckedBefore
Hammersmith,H,Friday,Thursday,6,Adjournment,Null,Null,,PM,NotCheckedBefore
Croydon,H,Friday,Thursday,6,Bailcondition,Null,Null,,PM,NotCheckedBefore
Hendon,L,Friday,Thursday,6,Bailcondition,Null,Null,,PM,NotCheckedBefore
Thames,L,Friday,Thursday,6,Adjournment,Null,Null,,PM,NotCheckedBefore
Croydon,H,Friday,Thursday,6,Result,Null,Null,,PM,NotCheckedBefore
Westminster,B,Friday,Friday,7,Result,Null,Null,,PM,NotCheckedBefore
Westminster,L,Friday,Friday,7,Result,Null,Null,,PM,NotCheckedBefore
BlackfriarsCC,B,Friday,Friday,7,Result,Null,Null,,PM,NotCheckedBefore
Westminster,B,Friday,Monday,10,Adjournment,Null,Null,,Unknown,NotCheckedBefore
Bromley,H,Friday,Tuesday,18,Result,Null,Null,,Unknown,NotCheckedBefore
Uxbridge,L,Friday,Thursday,6,Bailcondition,Null,Null,,PM,NotCheckedBefore
Crawley,H,Friday,Thursday,6,Adjournment,Null,Null,,PM,NotCheckedBefore
CroydonCC,H,Friday,Thursday,6,Adjournment,Null,Null,,PM,NotCheckedBefore
CroydonCC,H,Friday,Thursday,6,Adjournment,Null,Null,,PM,NotCheckedBefore
LewesCC,H,Friday,Thursday,6,Adjournment,Null,Null,,PM,NotCheckedBefore
SnaresbrookCC,L,Friday,Thursday,6,Adjournment,Null,Null,,PM,NotCheckedBefore
Crawley,H,Friday,Thursday,6,Result,Null,Null,,PM,NotCheckedBefore
Westminster,B,Saturday,Friday,6,Result,Thursday,AM,,PM,1
Westminster,B,Monday,Monday,7,Result,Friday,AM,,AM,3
Basingstoke,H,Monday,Monday,7,Result,Friday,AM,,AM,3
Hendon,L,Monday,Monday,7,Adjournment,Friday,AM,,AM,3
Hendon,L,Monday,Monday,7,Result,Friday,AM,,AM,3
Winchester,H,Monday,Monday,14,Adjournment,Friday,AM,,Unknown,3
Bromley,H,Monday,Friday,4,Adjournment,Thursday,PM,,AM,1
Uxbridge,L,Monday,Friday,4,Result,Thursday,PM,,AM,1
Croydon,H,Monday,Thursday,3,Adjournment,Null,Null,,PM,NotCheckedBefore
Croydon,H,Monday,Thursday,3,Bailcondition,Null,Null,,PM,NotCheckedBefore
Westminster,H,Monday,Friday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Westminster,B,Monday,Friday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Westminster,H,Monday,Friday,4,Adjournment,Null,Null,,PM,NotCheckedBefore
Westminster,L,Monday,Friday,4,Result,Null,Null,,PM,NotCheckedBefore
Westminster,L,Monday,Friday,4,Result,Null,Null,,PM,NotCheckedBefore
Westminster,B,Monday,Friday,4,Result,Null,Null,,PM,NotCheckedBefore
Westminster,B,Monday,Friday,4,Result,Null,Null,,PM,NotCheckedBefore
Croydon,H,Monday,Friday,4,Result,Null,Null,,PM,NotCheckedBefore
Barkingside,L,Monday,Friday,4,Warrant,Null,Null,,PM,NotCheckedBefore
Westminster,B,Monday,Monday,7,Adjournment,Null,Null,,AM,NotCheckedBefore
Oxford,B,Monday,Friday,11,Result,Null,Null,,Unknown,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,B,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
Westminster,B,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
Margate,H,Thursday,Wednesday,6,Result,Monday,AM,,PM,2
Dover,H,Thursday,Wednesday,6,Result,Monday,AM,,PM,2
Barkingside,B,Thursday,Friday,1,Result,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Aylesbury,B,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Cambridge,B,Friday,Thursday,6,Nonrecresult,Wednesday,AM,,PM,1
Croydon,H,Friday,Wednesday,5,Adjournment,Monday,AM,,PM,2
Croydon,H,Friday,Wednesday,5,Adjournment,Monday,AM,,PM,2
Hammersmith,B,Friday,Wednesday,5,Result,Monday,AM,,PM,2
Hendon,L,Friday,Wednesday,5,Result,Monday,AM,,PM,2
Westminster,L,Friday,Monday,3,Warrant,Null,Null,,AM,NotCheckedBefore
Westminster,B,Friday,Monday,3,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Friday,Monday,3,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Friday,Monday,3,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Friday,Monday,3,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Friday,Monday,3,Bailcondition,Null,Null,,AM,NotCheckedBefore
Westminster,H,Friday,Monday,3,Bailcondition,Null,Null,,AM,NotCheckedBefore
Westminster,B,Friday,Monday,3,Bailcondition,Null,Null,,AM,NotCheckedBefore
Westminster,B,Friday,Monday,3,Result,Null,Null,,AM,NotCheckedBefore
Westminster,B,Friday,Monday,3,Result,Null,Null,,AM,NotCheckedBefore
Thames,L,Friday,Monday,3,Result,Null,Null,,AM,NotCheckedBefore
Westminster,L,Friday,Monday,3,Result,Null,Null,,AM,NotCheckedBefore
Westminster,L,Friday,Monday,3,Result,Null,Null,,AM,NotCheckedBefore
LutonandSouthBedfordshire,B,Friday,Wednesday,5,Result,Null,Null,,PM,NotCheckedBefore
StAlbans,B,Friday,Wednesday,5,Bailcondition,Null,Null,,PM,NotCheckedBefore
Hammersmith,L,Friday,Wednesday,5,Adjournment,Null,Null,,PM,NotCheckedBefore
Guildford,H,Friday,Wednesday,5,Adjournment,Null,Null,,PM,NotCheckedBefore
StAlbans,B,Friday,Wednesday,5,Adjournment,Null,Null,,PM,NotCheckedBefore
Norwich,B,Friday,Tuesday,11,Result,Null,Null,,Unknown,NotCheckedBefore
Westminster,B,Saturday,Monday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,B,Saturday,Monday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Norwich,B,Saturday,Wednesday,4,Result,Null,Null,,PM,NotCheckedBefore
Peterborough,B,Saturday,Friday,6,Adjournment,Null,Null,,PM,NotCheckedBefore
Hammersmith,H,Sunday,Monday,1,Result,Null,Null,,AM,NotCheckedBefore
Thames,B,Monday,Thursday,3,Adjournment,Wednesday,AM,,PM,1
LavenderHill,H,Monday,Thursday,3,Nonrecresult,Wednesday,AM,,PM,1
CamberwellGreen,L,Monday,Friday,4,Warrant,Thursday,AM,,PM,1
Worthing,H,Monday,Tuesday,8,Bailcondition,Null,Null,,PM,NotCheckedBefore
Chelmsford,B,Wednesday,Monday,5,Bailcondition,Friday,AM,,AM,3
Chelmsford,B,Wednesday,Tuesday,6,Adjournment,Friday,AM,,PM,4
StAlbans,L,Wednesday,Friday,2,Adjournment,Thursday,AM,,PM,1
HighburyCorner,L,Wednesday,Monday,5,Result,Friday,AM,,AM,3
Croydon,H,Wednesday,Monday,5,Result,Friday,AM,,AM,3
LavenderHill,H,Wednesday,Monday,5,Bailcondition,Friday,AM,,AM,3
BrightonandHove,H,Wednesday,Friday,2,Bailcondition,Thursday,AM,,PM,1
Bromley,H,Wednesday,Friday,2,Result,Thursday,AM,,PM,1
Redhill,H,Wednesday,Monday,5,,Friday,AM,,AM,3
BlackfriarsCC,B,Wednesday,Tuesday,6,Bailcondition,Monday,PM,,AM,1
Thames,B,Wednesday,Thursday,1,Result,Null,Null,,AM,NotCheckedBefore
Hammersmith,H,Wednesday,Thursday,1,Bailcondition,Null,Null,,AM,NotCheckedBefore
SnaresbrookCC,L,Wednesday,Thursday,1,Result,Null,Null,,AM,NotCheckedBefore
Wimbledon,H,Wednesday,Thursday,1,Result,Null,Null,,AM,NotCheckedBefore
Thames,L,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
CamberwellGreen,H,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Reading,B,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Aylesbury,B,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Cambridge,B,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
Newbury,B,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
Oxford,B,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
Ealing,L,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
BlackfriarsCC,B,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
BlackfriarsCC,B,Wednesday,Friday,2,Bailcondition,Null,Null,,AM,NotCheckedBefore
InnerLondon,L,Wednesday,Friday,2,Bailcondition,Null,Null,,AM,NotCheckedBefore
HighburyCorner,L,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
Hendon,L,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
Chelmsford,B,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
Medway,H,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
StAlbans,B,Wednesday,Friday,2,Bailcondition,Null,Null,,AM,NotCheckedBefore
Stevenage,B,Wednesday,Friday,2,Result,Null,Null,,AM,NotCheckedBefore
StAlbans,B,Wednesday,Friday,2,Warrant,Null,Null,,AM,NotCheckedBefore
CityofLondon,L,Wednesday,Friday,2,Adjournment,Null,Null,,AM,NotCheckedBefore
CityofLondon,L,Wednesday,Friday,2,Bailcondition,Null,Null,,AM,NotCheckedBefore
Sevenoaks,H,Wednesday,Monday,5,Adjournment,Null,Null,,AM,NotCheckedBefore
BrightonandHove,H,Wednesday,Tuesday,6,Result,Null,Null,,PM,NotCheckedBefore
BlackfriarsCC,H,Wednesday,Thursday,1,Adjournment,Null,Null,,AM,NotCheckedBefore
Croydon,H,Wednesday,Monday,19,Result,Null,Null,,Unknown,NotCheckedBefore
Basildon,B,Thursday,Thursday,7,Result,Wednesday,AM,,PM,1
Maidstone,H,Thursday,Wednesday,6,Adjournment,Tuesday,AM,,PM,1
Guildford,H,Thursday,Monday,11,Result,Friday,AM,,Unknown,3
Eastbourne,H,Thursday,Tuesday,5,Adjournment,Monday,AM,,PM,1
Eastbourne,H,Thursday,Tuesday,5,Adjournment,Monday,AM,,PM,1
Eastbourne,H,Thursday,Tuesday,5,Result,Monday,AM,,PM,1
Oxford,B,Thursday,Tuesday,5,Bailcondition,Monday,PM,,AM,1
Croydon,H,Thursday,Tuesday,5,Adjournment,Monday,PM,,AM,1
HighburyCorner,B,Thursday,Tuesday,5,Result,Monday,PM,,AM,1
Huntingdon,B,Thursday,Tuesday,5,Result,Monday,PM,,AM,1
HighburyCorner,L,Thursday,Tuesday,5,Result,Monday,PM,,AM,1
Westminster,H,Thursday,Monday,4,Warrant,Null,Null,,AM,NotCheckedBefore
Westminster,H,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,H,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,H,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,H,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,H,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Staines,H,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Portsmouth,H,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Oxford,B,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
MiltonKeynes,B,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Slough,B,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Tottenham,B,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Hammersmith,L,Thursday,Monday,4,Bailcondition,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Bailcondition,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Bailcondition,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Bailcondition,Null,Null,,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Westminster,B,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Westminster,H,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
Westminster,L,Thursday,Monday,4,Result,Null,Null,,AM,NotCheckedBefore
SnaresbrookCC,B,Thursday,Monday,4,Adjournment,Null,Null,,AM,NotCheckedBefore
Reading,B,Thursday,Tuesday,5,Adjournment,Null,Null,,PM,NotCheckedBefore
Hendon,L,Thursday,Tuesday,5,Adjournment,Null,Null,,PM,NotCheckedBefore
StAlbans,B,Thursday,Tuesday,5,Result,Null,Null,,PM,NotCheckedBefore
CityofLondon,L,Thursday,Tuesday,5,Adjournment,Null,Null,,PM,NotCheckedBefore
LavenderHill,L,Friday,Wednesday,5,Result,Tuesday,AM,,PM,1
Uxbridge,H,Friday,Wednesday,5,Result,Tuesday,AM,,PM,1
EastBerkshire,B,Friday,Wednesday,5,Bailcondition,Tuesday,AM,,PM,1
Peterborough,B,Friday,Wednesday,5,Result,Tuesday,AM,,PM,1
CamberwellGreen,H,Friday,Wednesday,5,Adjournment,Tuesday,AM,,PM,1
WoodGreen,B,Friday,Monday,10,Adjournment,Friday,AM,,Unknown,3
Canterbury,H,Friday,Wednesday,5,Result,Tuesday,AM,,PM,1
Maidstone,H,Friday,Wednesday,5,Warrant,Tuesday,AM,,PM,1
Guildford,H,Friday,Thursday,6,Result,Wednesday,AM,,PM,1
Thames,L,Friday,Friday,7,Adjournment,Thursday,AM,,PM,1
Croydon,H,Friday,Wednesday,5,Adjournment,Tuesday,AM,,PM,1
Huntingdon,B,Friday,Tuesday,4,Adjournment,Monday,PM,,AM,1
