Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs,Norm Test RMSE,Norm Test MSE
0.2756008884909391,0.07595584973699504,0.2300448343194852,0.05292062579707939,6,6,15500,23.91095642648693,571.7338372293566,
0.27509149431919144,0.07567533024676575,0.22994197231810368,0.05287331063353956,6,6,16000,23.798955004332342,566.3902592982354,
0.27589843489585697,0.07611994637798342,0.23014043403052026,0.05296461937575625,6,6,16500,23.855337045938267,569.0771055753147,
0.2761910394526479,0.07628149027393412,0.23024042166215195,0.05301065176716553,6,6,17000,23.8972397551857,571.078067916828,
0.2763401366267285,0.07636387111087899,0.2303122070943582,0.05304371273667455,6,6,17500,23.930409076149076,572.664478551838,
0.27642294222593844,0.0764096429888445,0.23035349200504127,0.05306273127891661,6,6,18000,23.961452778189255,574.1512192413935,
0.2763940637983059,0.076393678502942,0.23033132311013085,0.0530525184056635,6,6,18500,23.997086591042223,575.8601648579784,
0.2756277504798824,0.07597065683460033,0.22985427644537926,0.052832988400228834,6,6,19000,24.079647024552514,579.8294008270408,
0.2764622383422039,0.07643136922918155,0.23057320724352107,0.05316400389856372,6,6,19500,24.08496607347059,580.0855907602294,
0.27569117906969565,0.076005626216839,0.22993982485500886,0.05287232305435215,6,6,20000,23.981439545850673,575.1094426912905,
0.275395115835418,0.07584246982600328,0.22970992532408382,0.05276664979239617,6,6,20500,23.900355869387777,571.2270106833788,
0.2756246627565887,0.07596895471968326,0.22991643664083827,0.052861567837620596,6,6,21000,23.918743371774255,572.1062844847949,
0.2754856678685042,0.0758923532009558,0.23005166681847944,0.05292376940596068,6,6,21500,23.922872949457567,572.3038501558885,
0.27518305840439977,0.07572571563279928,0.23027196742674727,0.05302517898258496,6,6,22000,23.91689145432574,572.0176968379997,
0.274960846024258,0.07560346684637574,0.23080871363164437,0.053272662288294415,6,6,22500,23.905601887785053,571.4778016172723,
0.2750355189213248,0.0756445366683224,0.23162957197523748,0.05365225861343172,6,6,23000,23.895091307054585,570.9753885724756,
0.2752848272052265,0.07578173608941143,0.23240248647239004,0.05401091571854943,6,6,23500,23.89235958646087,570.8448466087486,
0.27538267903301983,0.07583561991140321,0.23269994885542156,0.05414926619731581,6,6,24000,23.90599389686413,571.4965441969049,
0.2744801196996636,0.07533933611034169,0.2318066952663024,0.053734343970284384,6,6,24500,23.969856986971347,574.5540439758591,
0.27546556534251776,0.07588127768947293,0.23187942384404156,0.05376806720224467,6,6,25000,23.983785155776737,575.2219503984566,
0.27467236943612733,0.07544491053165642,0.23192840581346288,0.05379078542317432,6,6,25500,23.872690203711283,569.9053375623727,
0.27465156409940583,0.07543348166225002,0.23158021781723015,0.053629397284275765,6,6,26000,23.840215284979237,568.3558648341577,
0.27472903822638217,0.07547604444479296,0.23135429060547064,0.05352480778156055,6,6,26500,23.89135658962051,570.7969196924033,
0.27444773832457436,0.07532156107147404,0.23088357901085713,0.05330722705686271,6,6,27000,23.946455504626886,573.4327312350754,
0.2742754876533838,0.07522704312750149,0.23023554562096277,0.05300840646738243,6,6,27500,24.02643966290143,577.2698028750431,
0.2743882301934996,0.07528890086872092,0.2302174877270371,0.053000091655348476,6,6,28000,23.975168842705084,574.8087210362166,
0.27416557156416793,0.0751667606311069,0.22996528892633164,0.052884034110971194,6,6,28500,23.93699030238135,572.9795047362987,
0.27429833751209737,0.07523957796190048,0.23011447675561317,0.05295267241250963,6,6,29000,23.98186896554998,575.1300390808094,
0.2743221202078905,0.0752526256353523,0.23008954077349353,0.05294119677335714,6,6,29500,24.028413037907864,577.3646331203006,
0.2738071128583616,0.0749703350518316,0.2295300849533073,0.05268405989867246,6,6,30000,24.126380191398187,582.0822211398907,
