Training RMSE,Training MSE,Test RMSE,Test MSE,Number of Inputs Node,Number of Hidden Node,Number of Epochs
0.25691814756212006,0.06600693454675129,0.2319727916435099,0.053811376062883255,6,4,25500,
0.25869088597571566,0.06692097448690071,0.2321828441037659,0.05390887309611366,6,4,26000,
0.2605000773696849,0.06786029030961183,0.23244470166363373,0.05403053933149569,6,4,26500,
0.26238174512503065,0.06884418017485655,0.23277205113681676,0.05418282779044084,6,4,27000,
0.26433517465613676,0.06987308456049032,0.23315706487343354,0.0543622169003945,6,4,27500,
0.26636225610794073,0.07094885147891221,0.23363699572526692,0.054586245771528395,6,4,28000,
0.26848442505387654,0.07208388649651065,0.23431919724977746,0.05490548619978012,6,4,28500,
0.2707005834159999,0.07327880586176272,0.23530701426512665,0.055369390962368516,6,4,29000,
0.2728449943017008,0.07444439091549512,0.23638476215357546,0.055877755778402434,6,4,29500,
0.27467054105212607,0.07544390612186769,0.2371212478855532,0.05622648619880197,6,4,30000,
0.2761100555598727,0.07623676278127602,0.23746275003138095,0.05638855765246612,6,4,30500,
0.27714360404648364,0.0768085772638741,0.23745071864853895,0.056382843786707604,6,4,31000,
0.2775741452446941,0.07704740610832254,0.23681730595306388,0.056082436398867064,6,4,31500,
0.27681797492598664,0.07662819124212417,0.2348180170547622,0.055139501133530604,6,4,32000,
0.27383419023324096,0.0749851637406948,0.2307681297492464,0.05325392970796502,6,4,32500,
0.26818578856350594,0.07192361718742953,0.22579127960042272,0.05098170194359627,6,4,33000,
0.26310885822935715,0.06922627127875595,0.22154882044278834,0.049083879839590866,6,4,33500,
0.26001788224751404,0.06760929908848207,0.21857205938314292,0.047773745142988155,6,4,34000,
0.25787302397023965,0.06649849649155579,0.21654075338384687,0.046889897876043994,6,4,34500,
0.2560491964637235,0.06556119100971845,0.21515371005911843,0.046291118952203204,6,4,35000,
0.25422953255535463,0.06463265522331413,0.21446567929983817,0.04599552759754103,6,4,35500,
0.2520804628214597,0.06354455973628133,0.21455547141575784,0.04603405031443808,6,4,36000,
0.24954985929094953,0.06227513227213271,0.21459615626264025,0.04605151028269951,6,4,36500,
